At time 2022-05-01T00:00:00, resource=kagra, target=167, exp_time=5
At time 2022-05-01T08:30:00, resource=mcdonald, target=452, exp_time=5
At time 2022-05-01T08:35:00, resource=kagra, target=172, exp_time=5
At time 2022-05-01T08:35:00, resource=paranal, target=476, exp_time=5
At time 2022-05-01T08:35:00, resource=mcdonald, target=188, exp_time=5
At time 2022-05-01T08:40:00, resource=paranal, target=477, exp_time=5
At time 2022-05-01T08:40:00, resource=mcdonald, target=173, exp_time=5
At time 2022-05-01T08:45:00, resource=paranal, target=478, exp_time=5
At time 2022-05-01T08:45:00, resource=mcdonald, target=264, exp_time=5
At time 2022-05-01T08:50:00, resource=mcdonald, target=189, exp_time=5
At time 2022-05-01T08:55:00, resource=mcdonald, target=190, exp_time=5
At time 2022-05-01T09:00:00, resource=mcdonald, target=180, exp_time=5
At time 2022-05-01T09:05:00, resource=mcdonald, target=191, exp_time=5
At time 2022-05-01T09:10:00, resource=mcdonald, target=273, exp_time=5
At time 2022-05-01T09:15:00, resource=mcdonald, target=174, exp_time=5
At time 2022-05-01T09:20:00, resource=mcdonald, target=265, exp_time=5
At time 2022-05-01T09:25:00, resource=mcdonald, target=283, exp_time=5
At time 2022-05-01T09:30:00, resource=mcdonald, target=266, exp_time=5
At time 2022-05-01T09:35:00, resource=mcdonald, target=419, exp_time=5
At time 2022-05-01T09:40:00, resource=mcdonald, target=282, exp_time=5
At time 2022-05-01T09:45:00, resource=mcdonald, target=284, exp_time=5
At time 2022-05-01T09:50:00, resource=mcdonald, target=274, exp_time=5
At time 2022-05-01T09:55:00, resource=mcdonald, target=420, exp_time=5
At time 2022-05-01T10:00:00, resource=mcdonald, target=426, exp_time=5
At time 2022-05-01T10:05:00, resource=mcdonald, target=421, exp_time=5
At time 2022-05-01T10:10:00, resource=mcdonald, target=181, exp_time=5
At time 2022-05-01T10:15:00, resource=mcdonald, target=175, exp_time=5
At time 2022-05-01T10:20:00, resource=mcdonald, target=427, exp_time=5
At time 2022-05-01T10:25:00, resource=mcdonald, target=267, exp_time=5
At time 2022-05-01T10:30:00, resource=mcdonald, target=428, exp_time=5
At time 2022-05-01T10:35:00, resource=mcdonald, target=422, exp_time=5
At time 2022-05-01T10:40:00, resource=mcdonald, target=429, exp_time=5
At time 2022-05-01T10:45:00, resource=mcdonald, target=275, exp_time=5
At time 2022-05-01T10:50:00, resource=mcdonald, target=430, exp_time=5
At time 2022-05-01T10:55:00, resource=mcdonald, target=268, exp_time=5
At time 2022-05-01T11:00:00, resource=mcdonald, target=423, exp_time=5
At time 2022-05-01T11:05:00, resource=mcdonald, target=182, exp_time=5
At time 2022-05-01T11:10:00, resource=mcdonald, target=431, exp_time=5
At time 2022-05-01T11:15:00, resource=mcdonald, target=439, exp_time=5
At time 2022-05-01T11:20:00, resource=mcdonald, target=176, exp_time=5
At time 2022-05-01T11:25:00, resource=mcdonald, target=276, exp_time=5
At time 2022-05-01T11:30:00, resource=mcdonald, target=440, exp_time=5
At time 2022-05-01T11:35:00, resource=mcdonald, target=453, exp_time=5
At time 2022-05-01T11:40:00, resource=mcdonald, target=269, exp_time=5
At time 2022-05-01T11:45:00, resource=mcdonald, target=434, exp_time=5
At time 2022-05-01T11:50:00, resource=mcdonald, target=456, exp_time=5
At time 2022-05-01T11:55:00, resource=mcdonald, target=424, exp_time=5
At time 2022-05-01T12:00:00, resource=mcdonald, target=454, exp_time=5
At time 2022-05-01T12:05:00, resource=mcdonald, target=449, exp_time=5
At time 2022-05-01T12:10:00, resource=mcdonald, target=183, exp_time=5
At time 2022-05-01T12:15:00, resource=mcdonald, target=435, exp_time=5
At time 2022-05-01T12:20:00, resource=mcdonald, target=177, exp_time=5
At time 2022-05-01T12:25:00, resource=mcdonald, target=432, exp_time=5
At time 2022-05-01T12:30:00, resource=mcdonald, target=277, exp_time=5
At time 2022-05-01T12:35:00, resource=mcdonald, target=425, exp_time=5
At time 2022-05-01T12:40:00, resource=mcdonald, target=436, exp_time=5
At time 2022-05-01T12:45:00, resource=mcdonald, target=455, exp_time=5
At time 2022-05-01T12:50:00, resource=mcdonald, target=462, exp_time=5
At time 2022-05-01T12:55:00, resource=mcdonald, target=457, exp_time=5
At time 2022-05-01T13:00:00, resource=mcdonald, target=270, exp_time=5
At time 2022-05-01T13:05:00, resource=mcdonald, target=433, exp_time=5
At time 2022-05-01T13:10:00, resource=mcdonald, target=437, exp_time=5
At time 2022-05-01T13:15:00, resource=mcdonald, target=463, exp_time=5
At time 2022-05-01T13:20:00, resource=mcdonald, target=184, exp_time=5
At time 2022-05-01T13:25:00, resource=mcdonald, target=450, exp_time=5
At time 2022-05-01T13:30:00, resource=mcdonald, target=278, exp_time=5
At time 2022-05-01T13:35:00, resource=mcdonald, target=458, exp_time=5
At time 2022-05-01T13:40:00, resource=mcdonald, target=438, exp_time=5
At time 2022-05-01T13:45:00, resource=mcdonald, target=464, exp_time=5
At time 2022-05-01T13:50:00, resource=mcdonald, target=471, exp_time=5
At time 2022-05-01T13:55:00, resource=mcdonald, target=472, exp_time=5
At time 2022-05-01T14:00:00, resource=mcdonald, target=470, exp_time=5
At time 2022-05-01T14:05:00, resource=mcdonald, target=271, exp_time=5
At time 2022-05-01T14:10:00, resource=mcdonald, target=465, exp_time=5
At time 2022-05-01T14:15:00, resource=mcdonald, target=279, exp_time=5
At time 2022-05-01T14:20:00, resource=mcdonald, target=725, exp_time=5
At time 2022-05-01T14:25:00, resource=mcdonald, target=185, exp_time=5
At time 2022-05-01T14:30:00, resource=mcdonald, target=451, exp_time=5
At time 2022-05-01T14:35:00, resource=mcdonald, target=459, exp_time=5
At time 2022-05-01T14:40:00, resource=mcdonald, target=466, exp_time=5
At time 2022-05-01T14:45:00, resource=mcdonald, target=473, exp_time=5
At time 2022-05-01T14:50:00, resource=mcdonald, target=726, exp_time=5
At time 2022-05-01T14:55:00, resource=mcdonald, target=186, exp_time=5
At time 2022-05-01T15:00:00, resource=mcdonald, target=474, exp_time=5
At time 2022-05-01T15:05:00, resource=mcdonald, target=467, exp_time=5
At time 2022-05-01T15:10:00, resource=mcdonald, target=167, exp_time=5
At time 2022-05-01T15:15:00, resource=mcdonald, target=187, exp_time=5
At time 2022-05-01T15:20:00, resource=mcdonald, target=475, exp_time=5
At time 2022-05-01T15:25:00, resource=mcdonald, target=168, exp_time=5
At time 2022-05-01T15:30:00, resource=mcdonald, target=281, exp_time=5
At time 2022-05-01T15:35:00, resource=mcdonald, target=468, exp_time=5
At time 2022-05-01T15:40:00, resource=mcdonald, target=169, exp_time=5
At time 2022-05-01T15:45:00, resource=mcdonald, target=460, exp_time=5
At time 2022-05-01T15:50:00, resource=mcdonald, target=280, exp_time=5
At time 2022-05-01T15:55:00, resource=mcdonald, target=170, exp_time=5
At time 2022-05-01T16:00:00, resource=mcdonald, target=469, exp_time=5
At time 2022-05-01T16:05:00, resource=mcdonald, target=461, exp_time=5
At time 2022-05-01T16:10:00, resource=mcdonald, target=452, exp_time=5
At time 2022-05-01T16:15:00, resource=mcdonald, target=171, exp_time=5
At time 2022-05-01T16:20:00, resource=mcdonald, target=188, exp_time=5
At time 2022-05-01T16:25:00, resource=mcdonald, target=476, exp_time=5
At time 2022-05-01T16:30:00, resource=mcdonald, target=172, exp_time=5
At time 2022-05-01T16:35:00, resource=mcdonald, target=477, exp_time=5
At time 2022-05-01T16:40:00, resource=mcdonald, target=264, exp_time=5
At time 2022-05-01T16:45:00, resource=mcdonald, target=173, exp_time=5
At time 2022-05-01T16:50:00, resource=mcdonald, target=478, exp_time=5
At time 2022-05-01T16:55:00, resource=mcdonald, target=189, exp_time=5
At time 2022-05-01T17:00:00, resource=Subaru, target=178, exp_time=5
At time 2022-05-01T17:00:00, resource=mcdonald, target=190, exp_time=5
At time 2022-05-01T17:05:00, resource=Subaru, target=179, exp_time=5
At time 2022-05-01T17:05:00, resource=mcdonald, target=191, exp_time=5
At time 2022-05-01T17:10:00, resource=Subaru, target=272, exp_time=5
At time 2022-05-01T17:10:00, resource=mcdonald, target=265, exp_time=5
At time 2022-05-01T17:15:00, resource=Subaru, target=180, exp_time=5
At time 2022-05-01T17:15:00, resource=mcdonald, target=283, exp_time=5
At time 2022-05-01T17:20:00, resource=Subaru, target=273, exp_time=5
At time 2022-05-01T17:20:00, resource=mcdonald, target=174, exp_time=5
At time 2022-05-01T17:25:00, resource=mcdonald, target=419, exp_time=5
At time 2022-05-01T17:25:00, resource=Subaru, target=282, exp_time=5
At time 2022-05-01T17:30:00, resource=mcdonald, target=284, exp_time=5
At time 2022-05-01T17:30:00, resource=Subaru, target=274, exp_time=5
At time 2022-05-01T17:35:00, resource=Subaru, target=426, exp_time=5
At time 2022-05-01T17:35:00, resource=mcdonald, target=428, exp_time=5
At time 2022-05-01T17:40:00, resource=mcdonald, target=266, exp_time=5
At time 2022-05-01T17:40:00, resource=Subaru, target=181, exp_time=5
At time 2022-05-01T17:45:00, resource=mcdonald, target=420, exp_time=5
At time 2022-05-01T17:45:00, resource=Subaru, target=427, exp_time=5
At time 2022-05-01T17:50:00, resource=Subaru, target=429, exp_time=5
At time 2022-05-01T17:50:00, resource=mcdonald, target=430, exp_time=5
At time 2022-05-01T17:55:00, resource=mcdonald, target=175, exp_time=5
At time 2022-05-01T17:55:00, resource=Subaru, target=275, exp_time=5
At time 2022-05-01T18:00:00, resource=Subaru, target=423, exp_time=5
At time 2022-05-01T18:00:00, resource=mcdonald, target=431, exp_time=5
At time 2022-05-01T18:05:00, resource=mcdonald, target=421, exp_time=5
At time 2022-05-01T18:05:00, resource=Subaru, target=182, exp_time=5
At time 2022-05-01T18:10:00, resource=mcdonald, target=267, exp_time=5
At time 2022-05-01T18:10:00, resource=Subaru, target=276, exp_time=5
At time 2022-05-01T18:15:00, resource=mcdonald, target=439, exp_time=5
At time 2022-05-01T18:15:00, resource=Subaru, target=453, exp_time=5
At time 2022-05-01T18:20:00, resource=mcdonald, target=440, exp_time=5
At time 2022-05-01T18:20:00, resource=Subaru, target=434, exp_time=5
At time 2022-05-01T18:25:00, resource=Subaru, target=456, exp_time=5
At time 2022-05-01T18:25:00, resource=mcdonald, target=435, exp_time=5
At time 2022-05-01T18:30:00, resource=mcdonald, target=176, exp_time=5
At time 2022-05-01T18:30:00, resource=Subaru, target=424, exp_time=5
At time 2022-05-01T18:35:00, resource=Subaru, target=454, exp_time=5
At time 2022-05-01T18:40:00, resource=Subaru, target=183, exp_time=5
At time 2022-05-01T22:20:00, resource=kagra, target=422, exp_time=5
At time 2022-05-01T22:25:00, resource=kagra, target=449, exp_time=5
At time 2022-05-01T22:30:00, resource=kagra, target=432, exp_time=5
At time 2022-05-01T22:35:00, resource=kagra, target=277, exp_time=5
At time 2022-05-01T22:40:00, resource=kagra, target=425, exp_time=5
At time 2022-05-01T22:45:00, resource=kagra, target=436, exp_time=5
At time 2022-05-01T22:50:00, resource=kagra, target=455, exp_time=5
At time 2022-05-01T22:55:00, resource=kagra, target=462, exp_time=5
At time 2022-05-01T23:00:00, resource=kagra, target=457, exp_time=5
At time 2022-05-01T23:05:00, resource=kagra, target=433, exp_time=5
At time 2022-05-01T23:10:00, resource=kagra, target=437, exp_time=5
At time 2022-05-01T23:15:00, resource=kagra, target=463, exp_time=5
At time 2022-05-01T23:20:00, resource=kagra, target=184, exp_time=5
At time 2022-05-01T23:25:00, resource=kagra, target=450, exp_time=5
At time 2022-05-01T23:30:00, resource=kagra, target=278, exp_time=5
At time 2022-05-01T23:35:00, resource=kagra, target=458, exp_time=5
At time 2022-05-01T23:40:00, resource=kagra, target=438, exp_time=5
At time 2022-05-01T23:45:00, resource=kagra, target=464, exp_time=5
At time 2022-05-01T23:50:00, resource=kagra, target=471, exp_time=5
At time 2022-05-01T23:55:00, resource=kagra, target=472, exp_time=5
At time 2022-05-02T00:00:00, resource=kagra, target=470, exp_time=5
At time 2022-05-02T00:05:00, resource=kagra, target=465, exp_time=5
At time 2022-05-02T00:10:00, resource=kagra, target=279, exp_time=5
At time 2022-05-02T00:15:00, resource=kagra, target=725, exp_time=5
At time 2022-05-02T00:20:00, resource=kagra, target=185, exp_time=5
At time 2022-05-02T00:25:00, resource=kagra, target=451, exp_time=5
At time 2022-05-02T00:30:00, resource=kagra, target=459, exp_time=5
At time 2022-05-02T00:35:00, resource=kagra, target=466, exp_time=5
At time 2022-05-02T00:40:00, resource=kagra, target=473, exp_time=5
At time 2022-05-02T00:45:00, resource=kagra, target=726, exp_time=5
At time 2022-05-02T00:50:00, resource=kagra, target=186, exp_time=5
At time 2022-05-02T00:55:00, resource=kagra, target=474, exp_time=5
At time 2022-05-02T01:00:00, resource=kagra, target=467, exp_time=5
At time 2022-05-02T01:00:00, resource=paranal, target=167, exp_time=5
At time 2022-05-02T01:05:00, resource=paranal, target=187, exp_time=5
At time 2022-05-02T01:05:00, resource=kagra, target=475, exp_time=5
At time 2022-05-02T01:10:00, resource=kagra, target=168, exp_time=5
At time 2022-05-02T01:10:00, resource=paranal, target=281, exp_time=5
At time 2022-05-02T01:15:00, resource=kagra, target=468, exp_time=5
At time 2022-05-02T01:15:00, resource=paranal, target=169, exp_time=5
At time 2022-05-02T01:20:00, resource=kagra, target=460, exp_time=5
At time 2022-05-02T01:20:00, resource=paranal, target=280, exp_time=5
At time 2022-05-02T01:25:00, resource=kagra, target=170, exp_time=5
At time 2022-05-02T01:25:00, resource=paranal, target=461, exp_time=5
At time 2022-05-02T01:30:00, resource=kagra, target=469, exp_time=5
At time 2022-05-02T01:30:00, resource=paranal, target=452, exp_time=5
At time 2022-05-02T01:35:00, resource=kagra, target=171, exp_time=5
At time 2022-05-02T01:35:00, resource=paranal, target=188, exp_time=5
At time 2022-05-02T01:40:00, resource=paranal, target=476, exp_time=5
At time 2022-05-02T01:40:00, resource=kagra, target=172, exp_time=5
At time 2022-05-02T01:45:00, resource=paranal, target=477, exp_time=5
At time 2022-05-02T01:45:00, resource=kagra, target=264, exp_time=5
At time 2022-05-02T01:50:00, resource=kagra, target=173, exp_time=5
At time 2022-05-02T01:50:00, resource=paranal, target=478, exp_time=5
At time 2022-05-02T01:55:00, resource=paranal, target=189, exp_time=5
At time 2022-05-02T01:55:00, resource=kagra, target=190, exp_time=5
At time 2022-05-02T02:00:00, resource=paranal, target=191, exp_time=5
